stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLatitude,stationLongitude,parking_total,gu,dong
ST-66,217. NH농협은행 앞,95,2,37.52207947,126.93036652,97,영등포구,여의동
ST-62,219. 롯데캐슬엠파이어 옆,33,0,37.52069473,126.92583466,33,영등포구,여의동
ST-63,220. 미성아파트 A동 앞,1,1,37.5193634,126.92604828,2,영등포구,여의동
ST-67,221. 여의도초교 앞,0,0,37.52267456,126.93778992,0,영등포구,여의동
ST-68,222. 시범아파트버스정류장 옆,20,4,37.51902008,126.93688965,24,영등포구,여의동
ST-69,223. 진주아파트상가 앞,15,1,37.51913071,126.9333725,16,영등포구,여의동
ST-70,224. 롯데캐슬 앞,14,0,37.5200882,126.93236542,14,영등포구,여의동
ST-71,225. 앙카라공원 앞,4,3,37.51758575,126.92961884,7,영등포구,여의동
ST-72,226. 샛강역 1번출구 앞,2,2,37.51776505,126.92841339,4,영등포구,여의동
ST-277,227. 양평2나들목 보행통로 입구,8,1,37.54466629,126.88835907,9,영등포구,양평2동
ST-278,228. 선유도역 3번출구 앞,19,7,37.53845978,126.89450836,26,영등포구,양평2동
ST-279,229. 양평1 보행육교 앞,47,9,37.53587341,126.8921814,56,영등포구,양평2동
ST-413,230. 영등포구청역 1번출구,20,1,37.52463531,126.89621735,21,영등포구,당산1동
ST-280,231. 남부고용노동지청 남측,17,1,37.52450562,126.89182281,18,영등포구,양평1동
ST-281,232. 양평우림 이비즈센타 앞,9,3,37.52565002,126.88781738,12,영등포구,양평1동
ST-282,233. 양평1동 YP센터 앞,23,0,37.52848816,126.89164734,23,영등포구,양평1동
ST-284,235. 신길동 우리은행 옆,0,1,37.50456619,126.91023254,1,영등포구,신길3동
ST-285,236. 문래동자이아파트 앞,14,0,37.51615524,126.89461517,14,영등포구,문래동
ST-286,237. 보라매 두산위브 건너편,0,0,37.49651337,126.91480255,0,동작구,신대방2동
ST-287,238. 제2구민체육센타 앞,0,1,37.52638626,126.90275574,1,영등포구,당산1동
ST-288,239. 유스호스텔 앞,6,5,37.5258522,126.90328217,11,영등포구,영등포동
ST-289,240. 문래역 4번출구 앞,10,1,37.51873779,126.89557648,11,영등포구,문래동
ST-290,241. 신길우성1차아파트 앞 공원,0,0,37.50501633,126.89853668,0,영등포구,도림동
ST-291,242. 신길선원가와인아파트 앞,0,0,37.51093292,126.91022491,0,영등포구,도림동
ST-292,243. 이앤씨드림타워 앞,24,2,37.52708435,126.89138031,26,영등포구,양평1동
ST-293,244. 영등포삼환아파트 앞,0,0,37.53007889,126.90570831,0,영등포구,영등포동
ST-294,245. 삼성생명 당산사옥 앞,14,3,37.52826309,126.89662933,17,영등포구,당산2동
ST-295,247. 당산역 10번출구 앞,17,4,37.53342056,126.90223694,21,영등포구,당산2동
ST-296,248. 초원아파트 앞,8,1,37.53105545,126.92420959,9,영등포구,여의동
ST-297,249. 여의도중학교 옆,4,0,37.52434921,126.93611908,4,영등포구,여의동
ST-298,250. 대림아파트 사거리,0,0,37.50764084,126.92308044,0,영등포구,신길7동
ST-299,251. 서울지방병무청 버스정류장,1,0,37.50449371,126.92195129,1,영등포구,신길7동
ST-300,252. 보라매역4번출구,16,3,37.49982834,126.91994476,19,영등포구,신길6동
ST-302,254. 도림신협 앞,28,3,37.50380325,126.90341949,31,영등포구,신길5동
ST-303,255. 도림사거리,0,2,37.50657272,126.90113068,2,영등포구,신길3동
ST-304,256. 동아에코빌입구,1,0,37.50947571,126.89929962,1,영등포구,도림동
ST-306,258. 신길역3번출구,2,0,37.51769257,126.91429901,2,영등포구,영등포동
ST-307,259. 대방역6번출구,1,2,37.51359177,126.92593384,3,영등포구,신길7동
ST-414,260. 여의도 마리나선착장 앞,7,1,37.53365707,126.91216278,8,영등포구,여의동
ST-416,262. 영문초등학교 사거리,17,1,37.51992798,126.88918304,18,영등포구,문래동
ST-417,263. 근로자회관 사거리,15,1,37.51715088,126.8886261,16,영등포구,문래동
ST-418,264. 교보생명보험 앞,16,4,37.52193069,126.89161682,20,영등포구,당산1동
ST-419,265. 영등포유통상가 사거리,26,0,37.52113342,126.89653778,26,영등포구,당산1동
ST-420,266. 영등포청과시장 사거리,17,3,37.52029419,126.90119171,20,영등포구,영등포동
ST-421,267. 삼성화재 사옥 옆,0,1,37.53596115,126.89830017,1,영등포구,양평2동
ST-422,268. 그랜드컨벤션센터 앞,7,1,37.53471756,126.90000153,8,영등포구,당산2동
ST-424,270. 증권거래소후문교차로,30,0,37.52234268,126.92710114,30,영등포구,여의동
ST-425,271. 샛강생태공원방문자센터 앞,11,0,37.51896286,126.9216156,11,영등포구,여의동
ST-426,272. 당산육갑문,24,4,37.53533936,126.90367889,28,영등포구,당산2동
ST-1320,275. 신동아아파트,0,1,37.52269745,126.88568115,1,영등포구,양평1동
ST-1321,276. 영등포로터리2,2,0,37.51828384,126.9126358,2,영등포구,영등포동
ST-1323,278. 쌍용플레티넘오피스텔,3,0,37.50793076,126.89523315,3,영등포구,도림동
ST-1353,279. 영등포 푸르지오 아파트 B,0,0,37.51322937,126.90446472,0,영등포구,영등포본동
ST-1539,280. 양평동6차현대아파트 앞,12,0,37.53210068,126.8944397,12,영등포구,양평2동
ST-1540,281. 대림신동아아파트 앞,4,1,37.49824142,126.89398193,5,영등포구,대림3동
ST-1541,282. 신한은행 대림동지점,8,3,37.48752975,126.90487671,11,영등포구,대림2동
ST-1649,283. 아크로타워 스퀘어(영등포시장),1,0,37.52251816,126.90721893,1,영등포구,영등포동
ST-1650,284. 센트럴 푸르지오 시티 앞,9,2,37.51821136,126.90222931,11,영등포구,영등포동
ST-1651,285. 콤텍시스템 앞,19,0,37.49985886,126.89723969,19,영등포구,대림3동
ST-1652,286. 우성아파트 교차로,16,4,37.49457169,126.89974976,20,영등포구,대림2동
ST-1653,287. 영등포전화국사거리 (서강어린이공원),3,0,37.52576828,126.90573883,3,영등포구,영등포동
ST-1677,288. 쌍용예가(구청별관),28,0,37.52809906,126.89338684,28,영등포구,양평1동
ST-1697,289. 대림3동사거리,8,3,37.49980927,126.89800262,11,영등포구,대림3동
ST-1698,290. 새말소공원,29,1,37.5315094,126.89782715,30,영등포구,당산2동
ST-1699,291. 문래동 하이테크 시티,68,2,37.51412964,126.89939117,70,영등포구,문래동
ST-1700,292. 영일 어린이공원,1,0,37.51012039,126.90406799,1,영등포구,도림동
ST-1701,293. 충북 미래관,1,0,37.52917099,126.90757751,1,영등포구,당산2동
ST-1967,295.영등포공원 분수대 앞,0,0,37.51481247,126.91170502,0,영등포구,영등포본동
ST-1968,296.KT플라자 영등포점,0,0,37.52630234,126.90538025,0,영등포구,영등포동
ST-1969,297.국회3문,1,1,37.52863693,126.91267395,2,영등포구,여의동
ST-1970,298.KBS 연구동 건너편,30,3,37.52750778,126.91429901,33,영등포구,여의동
ST-1971,299.여의도 순복음교회,2,0,37.53179169,126.92245483,2,영등포구,여의동
ST-116,300. 정동사거리,4,0,37.56805038,126.96923065,4,중구,소공동
ST-117,301. 경복궁역 7번출구 앞,9,1,37.57579422,126.97145081,10,종로구,사직동
ST-118,302. 경복궁역 4번출구 뒤,1,0,37.57594681,126.97406006,1,종로구,사직동
ST-119,303. 광화문역 1번출구 앞,10,1,37.57176971,126.97466278,11,종로구,사직동
ST-121,305. 종로구청 옆,11,1,37.57255936,126.97833252,12,종로구,종로1·2·3·4가동
ST-123,307. 서울역사박물관 앞,7,6,37.56999969,126.97109985,13,종로구,사직동
ST-124,308. 광화문 S타워 앞,48,5,37.56996918,126.97393799,53,종로구,사직동
ST-125,309. 광화문역 6번출구 옆 B,3,2,37.56996155,126.97615814,5,종로구,사직동
ST-126,310. 청계광장 옆,0,1,37.56887817,126.9774704,1,중구,명동
ST-130,314. 국립현대미술관,1,0,37.5797081,126.98085785,1,종로구,삼청동
ST-132,316. 종각역 1번출구 앞,9,1,37.57039642,126.98178864,10,종로구,종로1·2·3·4가동
ST-134,318. 광교사거리 남측,9,1,37.56863403,126.98231506,10,중구,명동
ST-136,320. 을지로입구역 4번출구 앞,12,0,37.56622314,126.98358917,12,중구,명동
ST-137,321. KEB 하나금융그룹 명동사옥 옆,23,1,37.56546402,126.98413849,24,중구,명동
ST-138,322. 명동성당 앞,0,1,37.56447601,126.98696899,1,중구,명동
ST-140,324. 신세계백화점 본점 앞,6,1,37.56134415,126.9805069,7,중구,회현동
ST-142,326. 안국역 5번출구 앞,3,1,37.57624054,126.98616028,4,종로구,종로1·2·3·4가동
ST-143,327. 낙원상가 옆,6,2,37.57335663,126.9874649,8,종로구,종로1·2·3·4가동
ST-144,328. 탑골공원 앞,1,0,37.57039642,126.9881897,1,종로구,종로1·2·3·4가동
ST-145,329. 청계2가 사거리 옆,20,1,37.56848526,126.98788452,21,종로구,종로1·2·3·4가동
ST-147,331. 을지로2가 사거리 북측,3,0,37.56638336,126.98720551,3,중구,명동
ST-148,332. 을지로2가 사거리 남측,0,0,37.56599045,126.98779297,0,중구,명동
ST-150,334. 종로3가역 2번출구 뒤,0,0,37.5705986,126.99179077,0,종로구,종로1·2·3·4가동
ST-151,335. 종로3가역 15번출구 앞,1,0,37.57019424,126.99165344,1,종로구,종로1·2·3·4가동
ST-152,336. 충무로역 6번출구 앞,1,0,37.56144714,126.99311066,1,중구,필동
ST-153,337. 창경궁 입구,0,0,37.57897949,126.99647522,0,종로구,이화동
ST-154,338. 세운스퀘어 앞,0,1,37.57095718,126.99712372,1,종로구,종로1·2·3·4가동
ST-155,339. 종로4가 사거리,6,0,37.57106781,126.99819183,6,종로구,종로1·2·3·4가동
ST-156,340. 혜화동 로터리,2,2,37.58562851,127.00067902,4,종로구,혜화동
ST-157,341. 혜화역 3번출구 뒤,2,1,37.58156967,127.00178528,3,종로구,이화동
ST-158,342. 대학로 마로니에공원,0,0,37.57978439,127.00253296,0,종로구,이화동
ST-159,343. 힐스테이트창경궁 아파트 앞,2,0,37.57561111,127.00469971,2,종로구,종로5·6가동
ST-160,344. 성균관대 E하우스 앞,1,0,37.57419968,127.0065918,1,종로구,종로5·6가동
ST-161,345. 서울보증보험본사 앞,6,0,37.57330704,127.00070953,6,종로구,종로5·6가동
ST-162,346. 맥스타일 앞,0,3,37.56918335,127.00988007,3,중구,광희동
ST-163,347. 동대문역사문화공원역 9번출구 앞,2,0,37.56533051,127.00784302,2,중구,광희동
ST-183,348. 독립문역 사거리,6,1,37.57202911,126.96078491,7,종로구,교남동
ST-165,349. 어린이도서관,0,0,37.57633209,126.96858978,0,종로구,사직동
ST-167,351. 청운초교 앞 삼거리,0,0,37.58496857,126.97041321,0,종로구,청운효자동
ST-168,352. 중앙고입구 삼거리,1,0,37.58341599,126.98523712,1,종로구,가회동
ST-169,353. 재동초교 앞 삼거리,9,0,37.57938766,126.9849472,9,종로구,가회동
ST-170,354. 포르투갈 대사관 앞,13,2,37.57915497,126.98896027,15,종로구,가회동
ST-171,355. 서울사대부설초등학교 앞,0,1,37.57650757,127.00245667,1,종로구,이화동
ST-172,356. KT혜화지사 앞,4,1,37.57714462,127.00205994,5,종로구,이화동
ST-173,358. 성균관대입구 사거리 A,7,0,37.58250046,126.99853516,7,종로구,혜화동
ST-174,359. 원남동사거리,1,2,37.57606125,126.99768066,3,종로구,종로1·2·3·4가동
ST-175,361. 동묘앞역 1번출구 뒤,2,0,37.57324219,127.01590729,2,종로구,숭인1동
ST-176,362. 청계8가사거리 A,0,0,37.57219696,127.02304077,0,종로구,숭인2동
ST-177,363. 신설동역 11번출구 뒤,1,3,37.57559204,127.02285004,4,종로구,숭인2동
ST-178,364. 창신역 1번출구 앞,0,0,37.57933426,127.01508331,0,종로구,숭인1동
ST-180,367. 독립문역 3-1번출구 ,13,2,37.57415771,126.95851898,15,종로구,무악동
ST-181,368. SK 서린빌딩 앞,51,3,37.5692482,126.98053741,54,종로구,종로1·2·3·4가동
ST-185,370. 시청역(2호선) 9번출구 뒤,26,1,37.56322861,126.97483826,27,중구,소공동
ST-186,371. 동대입구역 6번출구 뒤,0,0,37.55887222,127.00553894,0,중구,장충동
ST-187,372. 약수역 3번출구 뒤,1,0,37.55429459,127.01119995,1,중구,약수동
ST-189,374. 청구역 2번출구 앞,1,0,37.5604744,127.01407623,1,중구,동화동
ST-194,379. 서울역9번출구,1,2,37.55599976,126.97335815,3,중구,회현동
ST-195,380. CJ제일제당 앞,10,1,37.56386566,127.00274658,11,중구,광희동
ST-196,381. 장충체육관,0,0,37.55853271,127.00698853,0,중구,장충동
ST-197,382. 약수역 10번출구 앞,0,1,37.55519867,127.01004791,1,중구,다산동
ST-198,383. 신당역 12번 출구 뒤,11,8,37.5658493,127.0164032,19,중구,신당동
ST-199,384. 종로학원본원 ,0,0,37.55978012,126.96850586,0,중구,중림동
ST-336,385. 종각역 5번출구,24,3,37.56983566,126.98265839,27,종로구,종로1·2·3·4가동
ST-338,387. 훈련원공원주차장 앞,6,2,37.56699371,127.00346375,8,중구,을지로동
ST-444,388. 동성중학교 앞,1,1,37.58573532,127.0016098,2,종로구,혜화동
ST-943,389. 을지로4가역 1번출구,0,0,37.5667305,126.99660492,0,중구,을지로동
ST-944,390. 충무로역 1번출구,1,0,37.56138992,126.9953537,1,중구,필동
ST-977,391. 시립미술관,3,2,37.56505203,126.97340393,5,중구,소공동
ST-1372,393. 동대문역 8번 출구,7,4,37.57014084,127.00937653,11,종로구,종로5·6가동
ST-1373,394. 경희궁 자이 3단지,1,1,37.56748962,126.96591949,2,종로구,교남동
ST-1374,395. 경희궁 자이 2단지,2,0,37.56885529,126.96456146,2,종로구,교남동
ST-1432,397. 종묘공영주차장 건너편,6,1,37.57048035,126.99663544,7,종로구,종로1·2·3·4가동
ST-1435,398. 을지로3가역 3번출구,3,0,37.56655884,126.99243927,3,중구,을지로동
ST-1436,399. 서울역 센트럴 자이아파트,0,1,37.55410767,126.96540833,1,중구,중림동
ST-110,400. 상암한화오벨리스크 1차 앞,0,0,37.58752441,126.88300323,0,마포구,상암동
ST-76,401. 상암월드컵파크 10단지 앞,0,1,37.58618927,126.88161469,1,마포구,상암동
ST-77,402. 상암월드컵파크 9단지 앞,1,2,37.5829277,126.87983704,3,마포구,상암동
ST-78,403. 부엉이공원 앞,0,1,37.58559036,126.88472748,1,마포구,상암동
ST-80,405. DMC빌 앞,12,1,37.58265686,126.88578796,13,마포구,상암동
ST-81,406. 상암월드컵파크 7단지 앞,11,1,37.58111191,126.88087463,12,마포구,상암동
ST-83,407. 마포구 육아종합지원센터,6,1,37.58063126,126.88367462,7,마포구,상암동
ST-84,408. LG CNS앞,14,2,37.58081055,126.88665009,16,마포구,상암동
ST-86,409. 누리꿈스퀘어 옆,50,3,37.57939911,126.88916016,53,마포구,상암동
ST-88,410. 상암중학교 옆,10,0,37.57739258,126.88747406,10,마포구,상암동
ST-90,411. DMC홍보관,23,0,37.5779953,126.89147186,23,마포구,상암동
ST-91,412. DMC산학협력연구센터 앞,27,0,37.57565689,126.89079285,27,마포구,상암동
ST-92,413. 상암월드컵파크 3단지 후문,1,0,37.57147598,126.88968658,1,마포구,상암동
ST-94,414. 상암동주민센터 옆,14,6,37.57822037,126.89447021,20,마포구,상암동
ST-95,415. DMC역 9번출구 앞,3,0,37.57746887,126.89736176,3,마포구,상암동
ST-96,416. 상암월드컵파크 1단지 교차로,14,0,37.57566452,126.89444733,14,마포구,상암동
ST-93,417. DMC역 2번출구 옆,28,2,37.57506943,126.8999176,30,마포구,상암동
ST-89,418. 월드컵경기장역 3번출구 옆,3,2,37.57048035,126.89889526,5,마포구,성산2동
ST-87,419. 홈플러스 마포점 앞,0,0,37.56842041,126.89942932,0,마포구,성산2동
ST-85,420. 서울시 공공자전거 상암센터,53,5,37.56624603,126.8961792,58,마포구,성산2동
ST-82,421. 마포구청 앞,0,0,37.56574631,126.9018631,0,마포구,성산2동
ST-968,422. 문화비축기지,2,1,37.56897736,126.89440155,3,마포구,성산2동
ST-990,424. 롯데하이마트 (상암월드컵점) ,12,1,37.57361984,126.8980484,13,마포구,상암동
ST-991,425. DMC첨단산업센터,2,0,37.58450317,126.88559723,2,마포구,상암동
ST-992,426. 서울신용보증재단,9,8,37.54906082,126.95417786,17,마포구,아현동
ST-1397,427. 성산시영아파트,3,0,37.56958389,126.90381622,3,마포구,성산2동
ST-1437,428. 명보사거리,2,2,37.56439972,126.99143219,4,중구,을지로동
ST-1438,429. 송도병원,0,0,37.54988861,127.00734711,0,중구,다산동
ST-1439,430. 장충동먹자골목 앞,3,0,37.56212616,127.0062561,3,중구,장충동
ST-1440,431. 청계천 영도교,2,2,37.5710144,127.01974487,4,중구,황학동
ST-1494,432. 마포중앙도서관,13,3,37.56333923,126.90820312,16,마포구,성산1동
ST-1668,433. 을지로입구역 2번출구,18,0,37.56634521,126.98229218,18,중구,명동
ST-1669,434. 신당 래미안 버스정류장,0,4,37.56148911,127.02393341,4,성동구,왕십리2동
ST-1670,435. SK 남산빌딩,3,0,37.55686188,126.97561646,3,중구,회현동
ST-1675,436. 이대역 5번출구,5,1,37.55659103,126.94618988,6,마포구,대흥동
ST-1691,437. 대흥역 1번출구,12,3,37.54846954,126.9409256,15,마포구,대흥동
ST-1692,438. 성산2-1 공영주차장,0,0,37.56472015,126.9067688,0,마포구,성산2동
ST-1754,440. 하늘공원 입구,5,0,37.57012177,126.88134766,5,마포구,상암동
ST-1761,441.염천교사거리,3,12,37.55989075,126.97149658,15,중구,소공동
ST-1768,442.서울역 서부,0,0,37.55641556,126.9691925,0,중구,중림동
ST-1769,443.호암아트홀,0,1,37.5621109,126.97071838,1,중구,소공동
ST-1771,445.대한상공회의소,17,5,37.56015396,126.97410583,22,중구,소공동
ST-938,446. 상명대입구,8,0,37.60012817,126.95783234,8,종로구,홍은1동
ST-939,447. 신영동삼거리,3,0,37.60399246,126.96194458,3,종로구,부암동
ST-941,449. 일성아파트,3,2,37.60871887,126.97286224,5,종로구,평창동
ST-978,450. 효자동 삼거리,0,0,37.58360291,126.97254944,0,종로구,청운효자동
ST-979,451. 청와대앞길,0,0,37.58351517,126.97966766,0,종로구,삼청동
ST-1605,452. 동대문 종합시장 버스정류장,3,0,37.57123947,127.00440979,3,종로구,종로5·6가동
ST-1606,453. 종로오가 지하쇼핑센터 14번출구,3,1,37.57114029,127.00067139,4,종로구,종로5·6가동
ST-1607,454. 종로2가 버스정류장 (종각방향),9,0,37.57035828,126.98638153,9,종로구,종로1·2·3·4가동
ST-1608,455. 종로6가역 버스정류장(동대문 방향),3,0,37.570961,127.00605774,3,종로구,종로5·6가동
ST-1609,456. 숭인2동 주민센터 입구,0,1,37.57447052,127.0198288,1,종로구,숭인2동
ST-1610,457. 종로꽃시장 입구 옆,5,2,37.57131958,127.00720978,7,종로구,종로5·6가동
ST-1611,458. 광화문역 5번출구,4,3,37.56989288,126.97756958,7,종로구,종로1·2·3·4가동
ST-1619,461. 서울지방경찰청,1,0,37.57436371,126.97236633,1,종로구,사직동
ST-1752,462. 신영동삼거리(북악터널방향),1,0,37.60351181,126.96206665,1,종로구,평창동
ST-1756,464. 삼청동 골목,11,2,37.58419037,126.98169708,13,종로구,삼청동
ST-1759,465. 삼청공원 앞,0,0,37.58760452,126.9835968,0,종로구,삼청동
